author_name,career_stage,paper_title,paper_year,times_cited,total_authors_listed,coauthors,coauthor_count,coauthor_countries_counts,group,gender,coauthor_genders
Leo Anthony Celi,Senior,"Critical Care, Critical Data",2019,43,3,"Christopher V. Cosgriff, David J. Stone",2,{'US': 3},treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Risk of mortality and cardiopulmonary arrest in critical patients presenting to the emergency department using machine learning and natural language processing,2020,41,9,"Marta Fernandes, Rúben Mendes, Susana M. Vieira, Francisca Leite, Carlos Palos, Alistair E. W. Johnson, Stan N. Finkelstein, Steven Horng",8,"{'PT': 5, 'US': 4}",treatment,male,"{'M': 4, 'F': 3}"
Leo Anthony Celi,Senior,Urban Intelligence for Pandemic Response: Viewpoint,2020,41,3,"Yuan Lai, Wesley Yeung",2,{'US': 3},treatment,male,"{'M': 1, 'F': 0}"
Leo Anthony Celi,Senior,COVID-19: Putting the General Data Protection Regulation to the Test,2020,40,3,"Stuart McLennan, Alena Buyx",2,"{'DE': 2, 'US': 1}",treatment,male,"{'M': 1, 'F': 1}"
Leo Anthony Celi,Senior,The association between autoimmune disease and 30-day mortality among sepsis ICU patients: a cohort study,2019,39,5,"Mallory Sheth, Corey M. Benedum, Roger G. Mark, Natasha Markuzon",4,{'US': 5},treatment,male,"{'M': 2, 'F': 2}"
Leo Anthony Celi,Senior,Machine Learning for Pulmonary and Critical Care Medicine: A Narrative Review,2020,37,3,"Eric Mlodzinski, David J. Stone",2,{'US': 3},treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Treatment in Disproportionately Minority Hospitals Is Associated With Increased Risk of Mortality in Sepsis: A National Analysis*,2020,36,5,"Barret Rush, John Danziger, Keith R. Walley, Anand Kumar",4,"{'CA': 3, 'US': 2}",treatment,male,"{'M': 3, 'F': 0}"
Leo Anthony Celi,Senior,Artificial intelligence-based prediction of transfusion in the intensive care unit in patients with gastrointestinal bleeding,2021,34,13,"Riccardo Levi, Francesco Carli, Aldo Robles Arévalo, Yüksel Altınel, Daniel J. Stein, Matteo Maria Naldini, Federica Grassi, Andrea Zanoni, Stan N. Finkelstein, Susana M. Vieira, João M. C. Sousa, Riccardo Barbieri",12,"{'IT': 5, 'PT': 3, 'TR': 1, 'US': 3, 'CH': 1}",treatment,male,"{'M': 9, 'F': 3}"
Leo Anthony Celi,Senior,Understanding critically ill sepsis patients with normal serum lactate levels: results from U.S. and European ICU cohorts,2021,31,11,"Christopher Martin Sauer, Josep Gómez, Manuel Ruíz-Botella, David R. Ziehr, William M. Oldham, Giovana Gavidia‐Bovadilla, Alejandro Rodríguez, Paul Elbers, Armand R. J. Girbes, María Bodi",10,"{'US': 4, 'ES': 4, 'NL': 2}",treatment,male,"{'M': 8, 'F': 1}"
Leo Anthony Celi,Senior,The Global Open Source Severity of Illness Score (GOSSIS)*,2022,24,8,"Jesse D. Raffa, Alistair E. W. Johnson, Zach O’Brien, Tom Pollard, Roger G. Mark, David Pilcher, Omar Badawi",7,"{'US': 6, 'AU': 2}",treatment,male,"{'M': 7, 'F': 0}"
Leo Anthony Celi,Senior,Machine Learning for Acute Kidney Injury Prediction in the Intensive Care Unit,2022,23,5,"Eric Raphael Gottlieb, Mathew Samuel, Joseph V. Bonventre, Heather Mattie",4,{'US': 4},treatment,male,"{'M': 3, 'F': 1}"
Leo Anthony Celi,Senior,Impact of macrolide treatment on long-term mortality in patients admitted to the ICU due to CAP: a targeted maximum likelihood estimation and survival analysis,2023,17,14,"Luis Felipe Reyes, Esteban Greciet García, Elsa D. Ibáñez-Prada, Cristian C. Serrano-Mayorga, Yuli V. Fuentes, Alejandro Rodríguez, Antonio Moreno, Alirio Bastidas, Josep Gómez, Angélica González, Christopher R. Frei, Ignacio Martín‐Loeches, Grant Waterer",13,"{'GB': 1, 'CO': 6, 'ES': 3, 'US': 2, 'IE': 1, 'AU': 1}",treatment,male,"{'M': 10, 'F': 2}"
Leo Anthony Celi,Senior,Oxygenation thresholds for invasive ventilation in hypoxemic respiratory failure: a target trial emulation in two cohorts,2023,16,16,"Christopher J. Yarnell, Federico Angriman, Bruno L. Ferreyro, Kuan Liu, Harm‐Jan de Grooth, Lisa Burry, Laveena Munshi, Sangeeta Mehta, Paul Elbers, Patrick Thoral, Laurent Brochard, Hannah Wunsch, Robert Fowler, Lillian Sung, George Tomlinson",15,"{'CA': 12, 'NL': 3, 'US': 1}",treatment,male,"{'M': 8, 'F': 4}"
Leo Anthony Celi,Senior,Optimized Risk Score to Predict Mortality in Patients With Cardiogenic Shock in the Cardiac Intensive Care Unit,2023,16,8,"Eric Yamga, Sreekar Mantena, Darin Rosen, Emily M. Bucholz, Robert W. Yeh, Berk Ustun, Neel M. Butala",7,"{'CA': 1, 'US': 7}",treatment,male,"{'M': 3, 'F': 3}"
Leo Anthony Celi,Senior,The potential use of non-fungible tokens (NFTs) in healthcare and medical research,2023,16,9,"Antonio Yaghy, Nicole Rose I. Alberto, Isabelle Rose I. Alberto, Rene S. Bermea, Ljubica Ristovska, Maria Yaghy, Sandra Hoyek, Nimesh A. Patel",8,"{'US': 6, 'PH': 2, 'FR': 1}",treatment,male,"{'M': 2, 'F': 5}"
Leo Anthony Celi,Senior,Exploring disease axes as an alternative to distinct clusters for characterizing sepsis heterogeneity,2023,16,10,"Zhongheng Zhang, Lin Chen, Xiaoli Liu, Jie Yang, Jiajie Huang, Qiling Yang, Qichao Hu, Ketao Jin, Yucai Hong",9,"{'CN': 9, 'US': 1}",treatment,male,"{'M': 0, 'F': 1}"
Leo Anthony Celi,Senior,De-identification and Obfuscation of Gender Attributes from Retinal Scans,2023,16,12,"Chenwei Wu, Xiyu Yang, Emil Ghitman Gilkes, Hanwen Cui, Jiheon Choi, Na Sun, Ziqian Liao, Bo Fan, Mauricio Santillana, Paolo Silva, Luis Filipe Nakayama",11,{'US': 12},treatment,male,"{'M': 5, 'F': 0}"
Leo Anthony Celi,Senior,VAP risk index: Early prediction and hospital phenotyping of ventilator-associated pneumonia using machine learning,2023,15,4,"Ali Akbar Samadani, Taiyao Wang, Kees van Zon",3,{'US': 4},treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Inpatient palliative care referral and 9-month hospital readmission in patients with congestive heart failure: a linked nationwide analysis,2017,40,5,"Katie Wiskar, Keith R. Walley, Clark Fruhstorfer, Barret Rush",4,"{'CA': 4, 'US': 1}",treatment,male,"{'M': 2, 'F': 1}"
Leo Anthony Celi,Senior,Behind the scenes: A medical natural language processing project,2017,37,10,"Joy T. Wu, Franck Dernoncourt, Sebastian Gehrmann, Patrick D. Tyler, Edward T. Moseley, Eric T. Carlson, David W. Grant, Yeran Li, Jonathan Welt",9,{'US': 9},treatment,male,"{'M': 7, 'F': 1}"
Leo Anthony Celi,Senior,Association between chronic exposure to air pollution and mortality in the acute respiratory distress syndrome,2017,36,6,"Barret Rush, Robert C. McDermid, Keith R. Walley, James A. Russell, John H. Boyd",5,"{'CA': 5, 'US': 1}",treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,Improved Survival of Cancer Patients Admitted to the Intensive Care Unit between 2002 and 2011 at a U.S. Teaching Hospital,2018,36,4,"Christopher Martin Sauer, Jinghui Dong, Daniele Ramazzotti",3,{'US': 4},treatment,male,"{'M': 1, 'F': 1}"
Leo Anthony Celi,Senior,Association of Household Income Level and In-Hospital Mortality in Patients With Sepsis: A Nationwide Retrospective Cohort Analysis,2017,35,7,"Barret Rush, Katie Wiskar, Keith R. Walley, James A. Russell, Robert C. McDermid, John H. Boyd",6,"{'CA': 6, 'US': 1}",treatment,male,"{'M': 4, 'F': 1}"
Leo Anthony Celi,Senior,Racial and Geographic Disparities in Interhospital ICU Transfers*,2017,35,6,"Patrick D. Tyler, David J. Stone, Benjamin P. Geisler, Stuart McLennan, Barret Rush",5,"{'US': 4, 'DE': 1, 'CA': 1}",treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,Leveraging Data Science for Global Health,2020,34,6,"Maimuna S. Majumder, Patricia Ordóñez, Juan Sebastian Osorio, Kenneth Paik, Melek Somai",5,"{'US': 4, 'PR': 1, 'GB': 1}",treatment,male,"{'M': 2, 'F': 2}"
Leo Anthony Celi,Senior,Real-world characterization of blood glucose control and insulin use in the intensive care unit,2020,31,7,"Lawrence Baker, Jason H. Maley, Aldo Robles Arévalo, Francis DeMichele, Roselyn Mateo-Collado, Stan N. Finkelstein",6,"{'US': 5, 'PT': 1}",treatment,male,"{'M': 5, 'F': 1}"
Leo Anthony Celi,Senior,Ensuring machine learning for healthcare works for all,2020,31,4,"Liam G. McCoy, John D. Banja, Marzyeh Ghassemi",3,"{'CA': 2, 'US': 2}",treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Patient-specific COVID-19 resource utilization prediction using fusion AI model,2021,30,8,"Amara Tariq, Janice Newsome, Saptarshi Purkayastha, Neal K. Bhatia, Hari Trivedi, Judy Wawira Gichoya, Imon Banerjee",7,{'US': 8},treatment,male,"{'M': 2, 'F': 3}"
Leo Anthony Celi,Senior,Delirium prediction in the ICU: designing a screening tool for preventive interventions,2022,20,9,"Anirban Bhattacharyya, Seyedmostafa Sheikhalishahi, Heather Torbic, Wesley Yeung, Tiffany Wang, Jennifer Birst, Abhijit Duggal, Venet Osmani",8,"{'US': 6, 'IT': 2, 'SG': 1}",treatment,male,"{'M': 1, 'F': 3}"
Leo Anthony Celi,Senior,Image quality assessment of retinal fundus photographs for diabetic retinopathy in the machine learning era: a review,2023,14,11,"Mariana Batista Gonçalves, Luis Filipe Nakayama, Daniel Ferraz, Hanna Faber, Edward Korot, Fernando Korn Malerbi, Caio V. Regatieri, Maurício Maia, Pearse A. Keane, Rubens Belfort Neto",10,"{'BR': 7, 'DE': 1, 'US': 2, 'GB': 1}",treatment,male,"{'M': 7, 'F': 2}"
Leo Anthony Celi,Senior,Delivering on NIH data sharing requirements: avoiding Open Data in Appearance Only,2023,13,9,"Hope Watson, Jack Gallifant, Yuan Lai, Alexander P Radunsky, Cleva Villanueva, Nicole Martinez‐Martin, Judy Wawira Gichoya, Uyen Kim Huynh",8,"{'GB': 1, 'CN': 1, 'US': 5, 'MX': 1}",treatment,male,"{'M': 2, 'F': 4}"
Leo Anthony Celi,Senior,Role of artificial intelligence in pharmacy practice: A narrative review,2023,13,9,"Adrian Wong, Erin Wentz, Nicholas Palisano, Manar Dirani, Pansy Elsamadisi, Farah Qashou, Omar Badawi, Lama Nazer",8,"{'US': 6, 'JO': 2}",treatment,male,"{'M': 3, 'F': 4}"
Leo Anthony Celi,Senior,A new tool for evaluating health equity in academic journals; the Diversity Factor,2023,13,18,"Jack Gallifant, Joe Zhang, Stephen Whebell, Justin Quion, Braiam Escobar, Judy Wawira Gichoya, Karen Herrera, Ruxana Jina, Swathikan Chidambaram, Abha Mehndiratta, Richard Kimera, Alvin Marcelo, Portia Grace H. Fernandez-Marcelo, Juan Sebastian Osorio, Cleva Villanueva, Lama Nazer, Irene Dankwa‐Mullan",17,"{'GB': 3, 'AU': 1, 'PH': 3, 'CO': 1, 'US': 4, 'ZA': 1, 'KR': 1, 'MX': 1, 'JO': 1}",treatment,male,"{'M': 7, 'F': 6}"
Leo Anthony Celi,Senior,The association between sodium fluctuations and mortality in surgical patients requiring intensive care,2017,34,7,"Dominic C. Marshall, Justin D. Salciccioli, Ross Goodson, Marco A. F. Pimentel, Kristi Sun, Joseph Shalhoub",6,"{'GB': 6, 'US': 1}",treatment,male,"{'M': 5, 'F': 1}"
Leo Anthony Celi,Senior,Quantifying the Mortality Impact of Do-Not-Resuscitate Orders in the ICU*,2017,32,10,"Lior Fuchs, Matthew Anstey, Mengling Feng, Ronen Toledano, Slava Kogan, Michael D. Howell, Peter Clardy, Daniel Talmor, Victor Novack",9,"{'US': 6, 'AU': 1, 'SG': 1, 'IL': 2}",treatment,male,"{'M': 8, 'F': 0}"
Leo Anthony Celi,Senior,Management of Atrial Fibrillation with Rapid Ventricular Response in the Intensive Care Unit,2017,32,6,"Ari Moskowitz, Kenneth P. Chen, Avraham Z. Cooper, Abdullah Chahin, Mohammad M. Ghassemi",5,{'US': 6},treatment,male,"{'M': 5, 'F': 0}"
Leo Anthony Celi,Senior,Big data and machine learning in critical care: Opportunities for collaborative research,2018,30,32,"Antonio Núñez Reiz, Fernando Martínez‐Sagasti, Manuel Álvarez González, Antonio Blesa Malpica, Juan Carlos Martín Benítez, Mercedes Nieto, Ángela del Pino Ramírez, José Miguel Gil Perdomo, Jesús Prada Alonso, Miguel Ángel Armengol de la Hoz, Rodrigo Octávio Deliberato, Kenneth Paik, Tom Pollard, Jesse D. Raffa, Felipe Torres, Julio Mayol, Joan Cháfer, Arturo González Ferrer, A. Rey, Henar González Luengo, Giuseppe Fico, Ivana Lombroni, Liss Hernández, Laura Lopez-Perez, Beatriz Merino‐Barbancho, María Fernanda Cabrera-Umpiérrez, María Teresa Arredondo, María Bodi, Josep Gómez, Alejandro Rodríguez, Miguel Sánchez García",31,"{'ES': 14, 'US': 8}",treatment,male,"{'M': 19, 'F': 11}"
Leo Anthony Celi,Senior,Developing well-calibrated illness severity scores for decision support in the critically ill,2019,29,9,"Christopher V. Cosgriff, Stephanie Q Ko, Tejas G Sundaresan, Miguel Ángel Armengol de la Hoz, Aaron Kaufman, David J. Stone, Omar Badawi, Rodrigo Octávio Deliberato",8,"{'US': 8, 'SG': 1}",treatment,male,"{'M': 6, 'F': 1}"
Leo Anthony Celi,Senior,Regional Tree Regularization for Interpretability in Deep Neural Networks,2020,28,8,"Mike Wu, Sonali Parbhoo, Michael Hughes, Ryan Kindle, Maurizio Zazzi, Volker Röth, Finale Doshi‐Velez",7,"{'US': 6, 'IT': 1, 'CH': 1}",treatment,male,"{'M': 5, 'F': 1}"
Leo Anthony Celi,Senior,The advent of medical artificial intelligence: lessons from the Japanese approach,2020,28,6,"Euma Ishii, Daniel K. Ebner, Satoshi Kimura, Louis Agha-Mir-Salim, Ryo Uchimido",5,"{'JP': 3, 'US': 2, 'GB': 1}",treatment,male,"{'M': 3, 'F': 0}"
Leo Anthony Celi,Senior,Accelerating ophthalmic artificial intelligence research: the role of an open access data repository,2020,28,3,"Ashley Kras, John B. Miller",2,{'US': 3},treatment,male,"{'M': 1, 'F': 1}"
Leo Anthony Celi,Senior,Recalibration of deep learning models for abnormality detection in smartphone-captured chest radiograph,2021,23,7,"Po‐Chih Kuo, Cheng Che Tsai, Diego M. López, Alexandros Karargyris, Tom Pollard, Alistair E. W. Johnson",6,"{'US': 6, 'CO': 1}",treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,"Rural–Urban Differences in Influenza Vaccination Among Adults in the United States, 2018–2019",2022,18,7,"Bhav Jain, Joseph Alexander Paguio, Jasper Seth Yao, Urvish Jain, Edward Christopher Dee, Bisola O. Ojikutu",6,{'US': 7},treatment,male,"{'M': 3, 'F': 0}"
Leo Anthony Celi,Senior,A Systematic Review of ‘Fair’ AI Model Development for Image Classification and Prediction,2022,17,7,"Ramón Correa, Mahtab Shaan, Hari Trivedi, Bhavik N. Patel, Judy Wawira Gichoya, Imon Banerjee",6,{'US': 7},treatment,male,"{'M': 2, 'F': 2}"
Leo Anthony Celi,Senior,Fairness metrics for health AI: we have a long way to go,2023,12,4,"Amarachi B. Mbakwe, Ismini Lourentzou, Joy T. Wu",3,{'US': 4},treatment,male,"{'M': 0, 'F': 1}"
Leo Anthony Celi,Senior,Interpretation and Use of Applied/Operational Machine Learning and Artificial Intelligence in Surgery,2023,11,4,"Molly Douglas, Rachel Callcut, Nirav Merchant",3,{'US': 4},treatment,male,"{'M': 0, 'F': 2}"
Leo Anthony Celi,Senior,Strategies and solutions to address Digital Determinants of Health (DDOH) across underinvested communities,2023,11,10,"Casey Holmes Fee, Rachel S. Hicklen, Sidney Jean, Nebal Abu Hussein, Lama Moukheiber, Michelle Foronda de Lota, Mira Moukheiber, Dana Moukheiber, Irene Dankwa‐Mullan",9,{'US': 9},treatment,male,"{'M': 1, 'F': 6}"
Leo Anthony Celi,Senior,Association between Patient Race and Ethnicity and Use of Invasive Ventilation in the United States,2023,11,12,"Fred M. Abdelmalek, Federico Angriman, Julie Moore, Kuan Liu, Lisa Burry, Laleh Seyyed-Kalantari, Sangeeta Mehta, Judy Wawira Gichoya, George Tomlinson, Michael Fralick, Christopher J. Yarnell",11,"{'CA': 10, 'US': 2}",treatment,male,"{'M': 5, 'F': 5}"
Leo Anthony Celi,Senior,Assessment of Intensive Care Unit Laboratory Values That Differ From Reference Ranges and Association With Patient Mortality and Length of Stay,2018,28,8,"Patrick D. Tyler, Hao Du, Mengling Feng, Ran Bai, Zenglin Xu, Gary L. Horowitz, David J. Stone",7,"{'US': 4, 'SG': 2, 'CN': 2}",treatment,male,"{'M': 3, 'F': 1}"
Leo Anthony Celi,Senior,Machine learning can accurately predict pre-admission baseline hemoglobin and creatinine in intensive care patients,2019,27,9,"Antonin Dauvin, Carolina Donado, Patrik Bächtiger, Ke-Chun Huang, Christopher Martin Sauer, Daniele Ramazzotti, Matteo Bonvini, Molly Douglas",8,{'US': 9},treatment,male,"{'M': 4, 'F': 3}"
Leo Anthony Celi,Senior,Outcomes of in‐hospital cardiopulmonary resuscitation for patients with end‐stage liver disease,2019,26,9,"Nneka N. Ufere, Mayur Brahmania, Michael Sey, Anouar Teriaky, Areej El‐Jawahri, Keith R. Walley, Raymond T. Chung, Barret Rush",8,"{'US': 4, 'CA': 5}",treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,Improving community health-care screenings with smartphone-based AI technologies,2021,22,4,"Sreekar Mantena, Salmaan Keshavjee, Andrea Beratarrechea",3,"{'US': 3, 'AR': 1}",treatment,male,"{'M': 0, 'F': 1}"
Leo Anthony Celi,Senior,Reading Race: AI Recognises Patient's Racial Identity In Medical Images.,2021,22,23,"Imon Banerjee, Ananth Reddy Bhimireddy, John L. Burns, Li-Ching Chen, Ramón Correa, Natalie Dullerud, Marzyeh Ghassemi, Shih-Cheng Huang, Po‐Chih Kuo, Matthew P. Lungren, Lyle J. Palmer, Brandon J. Price, Saptarshi Purkayastha, Ayis Pyrros, Luke Oakden‐Rayner, Chima Okechukwu, Laleh Seyyed-Kalantari, Hari Trivedi, Ryan Wang, Zachary Zaiman, Haoran Zhang, Judy Wawira Gichoya",22,{},treatment,male,"{'M': 9, 'F': 3}"
Leo Anthony Celi,Senior,Generalisability through local validation: overcoming barriers due to data disparity in healthcare,2021,21,3,"William Mitchell, Edward Christopher Dee",2,{'US': 3},treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Chest ImaGenome Dataset for Clinical Reasoning,2021,21,12,"Joy T. Wu, Nkechinyere N. Agu, Ismini Lourentzou, Arjun Sharma, Joseph Alexander Paguio, Jasper Seth Yao, Edward Christopher Dee, William Mitchell, Satyananda Kashyap, Andrea Giovannini, Mehdi Moradi",11,{},treatment,male,"{'M': 6, 'F': 2}"
Leo Anthony Celi,Senior,Global disparity bias in ophthalmology artificial intelligence applications,2022,16,8,"Luis Filipe Nakayama, Ashley Kras, Lucas Zago Ribeiro, Fernando Korn Malerbi, Luísa S.M. Mendonça, Caio V. Regatieri, Nadia K. Waheed",7,"{'BR': 5, 'US': 3}",treatment,male,"{'M': 4, 'F': 3}"
Leo Anthony Celi,Senior,CheXRelNet: An Anatomy-Aware Model for Tracking Longitudinal Relationships Between Chest X-Rays,2022,16,6,"Gaurang Karwande, Amarachi B. Mbakwe, Joy T. Wu, Mehdi Moradi, Ismini Lourentzou",5,"{'US': 5, 'CA': 1}",treatment,male,"{'M': 1, 'F': 1}"
Leo Anthony Celi,Senior,An extension to the FDA approval process is needed to achieve AI equity,2023,10,4,"Alessandro Hammond, Bhav Jain, Fatima Cody Stanford",3,{'US': 4},treatment,male,"{'M': 1, 'F': 1}"
Leo Anthony Celi,Senior,Sociodemographic disparities in ophthalmological clinical trials,2023,10,8,"Luis Filipe Nakayama, William Mitchell, Skyler Shapiro, Alvina Pauline D. Santiago, Warachaya Phanphruk, Khumbo Kalua, Caio V. Regatieri",7,"{'BR': 2, 'AU': 1, 'US': 2, 'PH': 1, 'TH': 1, 'MW': 1}",treatment,male,"{'M': 3, 'F': 1}"
Leo Anthony Celi,Senior,Retinal Scans and Data Sharing: The Privacy and Scientific Development Equilibrium,2023,10,7,"Luis Filipe Nakayama, João Matos, Isabelle Ursula Stewart, William Mitchell, Nicole Martinez‐Martin, Caio V. Regatieri",6,"{'BR': 2, 'PT': 1, 'AU': 2, 'US': 2}",treatment,male,"{'M': 4, 'F': 2}"
Leo Anthony Celi,Senior,Equity should be fundamental to the emergence of innovation,2023,10,5,"Jack Gallifant, Luis Filipe Nakayama, Judy Wawira Gichoya, Robin Pierce",4,"{'GB': 2, 'US': 3}",treatment,male,"{'M': 3, 'F': 1}"
Leo Anthony Celi,Senior,Emulating Target Trials Comparing Early and Delayed Intubation Strategies,2023,10,9,"Kerollos Nashat Wanis, Arin L. Madenci, Sicheng Hao, Mira Moukheiber, Lama Moukheiber, Dana Moukheiber, Sulaiman Moukheiber, Jessica G. Young",8,"{'CA': 1, 'US': 8}",treatment,male,"{'M': 2, 'F': 4}"
Leo Anthony Celi,Senior,Effects of correction rate for severe hyponatremia in the intensive care unit on patient outcomes,2023,10,6,"Takahiro Kinoshita, Eric Mlodzinski, Qian Xiao, Raphael Sherak, Nathan H. Raines",5,{'US': 6},treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,A National Survey of Stress and Burnout in Critical Care Nurses,2023,10,9,"Delwin Millan Villarante, Sharon C. O’Donoghue, Monica Medeiros, Erin Milton, Kayley Walsh, Ashley L. O’Donoghue, Margaret M. Hayes, Justin DiLibero",8,{'US': 9},treatment,male,"{'M': 1, 'F': 6}"
Leo Anthony Celi,Senior,Fairness and generalizability of OCT normative databases: a comparative analysis,2023,10,8,"Luis Filipe Nakayama, Lucas Zago Ribeiro, Juliana Angelica Estevão de Oliveira, João Matos, William Mitchell, Fernando Korn Malerbi, Caio V. Regatieri",7,"{'US': 3, 'BR': 4, 'AU': 1}",treatment,male,"{'M': 6, 'F': 1}"
Leo Anthony Celi,Senior,An interpretable deep learning model for time-series electronic health records: Case study of delirium prediction in critical care,2023,10,4,"Seyedmostafa Sheikhalishahi, Anirban Bhattacharyya, Venet Osmani",3,"{'IT': 2, 'US': 2}",treatment,male,"{'M': 0, 'F': 0}"
Leo Anthony Celi,Senior,Interdisciplinary collaboration in critical care alarm research: A bibliometric analysis,2023,10,14,"Louis Agha-Mir-Salim, Lucas McCullum, Enrico Dähnert, Yanick-Daniel Scheel, Ainsley Wilson, Marianne Carpio, Carmen W.H. Chan, Claudia Lo, L.D. Andrea K. Maher, Corinna Dressler, Felix Balzer, Akira-Sebastian Poncette, Michele M. Pelter",13,"{'DE': 6, 'US': 8}",treatment,male,"{'M': 4, 'F': 6}"
Leo Anthony Celi,Senior,"Clinical Note Creation, Binning, and Artificial Intelligence",2017,25,3,"Rodrigo Octávio Deliberato, David J. Stone",2,"{'BR': 1, 'US': 2}",treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Outcomes of Ventilated Patients With Sepsis Who Undergo Interhospital Transfer: A Nationwide Linked Analysis*,2017,25,6,"Barret Rush, Patrick D. Tyler, David J. Stone, Benjamin P. Geisler, Keith R. Walley",5,"{'CA': 2, 'US': 4}",treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,Promoting Secondary Analysis of Electronic Medical Records in China: Summary of the PLAGH-MIT Critical Data Conference and Health Datathon,2017,25,15,"Peiyao Li, Xie Chen, Tom Pollard, Alistair E. W. Johnson, Desen Cao, Hongjun Kang, Hong Liang, Yuezhou Zhang, Xiaoli Liu, Yong Fan, Yuan Zhang, Wanguo Xue, Lixin Xie, Zhengbo Zhang",14,"{'CN': 11, 'US': 4}",treatment,male,"{'M': 3, 'F': 0}"
Leo Anthony Celi,Senior,Patterns of Palliative Care Referral in Patients Admitted With Heart Failure Requiring Mechanical Ventilation,2017,24,7,"Katie Wiskar, Robert C. McDermid, Keith R. Walley, James A. Russell, John H. Boyd, Barret Rush",6,"{'CA': 5, 'US': 2}",treatment,male,"{'M': 4, 'F': 1}"
Leo Anthony Celi,Senior,Effect of Boarding on Mortality in ICUs,2017,24,4,"Robert Stretch, Nicolás Della Penna, Bruce E. Landon",3,"{'US': 3, 'AU': 1}",treatment,male,"{'M': 3, 'F': 0}"
Leo Anthony Celi,Senior,The challenge of local consent requirements for global critical care databases,2018,24,3,"Stuart McLennan, David Shaw",2,"{'CH': 2, 'US': 1}",treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,Severity of Illness Scores May Misclassify Critically Ill Obese Patients*,2017,22,9,"Rodrigo Octávio Deliberato, Stephanie Q Ko, Matthieu Komorowski, Miguel Ángel Armengol de la Hoz, Maria P. Frushicheva, Jesse D. Raffa, Alistair E. W. Johnson, David J. Stone",8,"{'US': 8, 'ES': 1}",treatment,male,"{'M': 6, 'F': 2}"
Leo Anthony Celi,Senior,Continuous State-Space Models for Optimal Sepsis Treatment: a Deep Reinforcement Learning Approach.,2017,22,5,"Aniruddh Raghu, Matthieu Komorowski, Peter Szolovits, Marzyeh Ghassemi",4,{},treatment,male,"{'M': 2, 'F': 0}"
Leo Anthony Celi,Senior,AI Ethics Is Not a Panacea,2020,21,4,"Stuart McLennan, Meredith M. Lee, Amelia Fiske",3,"{'CH': 1, 'US': 1, 'DE': 1, 'IL': 1}",treatment,male,"{'M': 1, 'F': 2}"
Leo Anthony Celi,Senior,"Cardio-pulmonary-renal interactions in ICU patients. Role of mechanical ventilation, venous congestion and perfusion deficit on worsening of renal function: Insights from the MIMIC-III database",2021,18,7,"Guillaume Géri, Loïc Ferrer, Nam Tran, Matthieu Jamme, Joon Lee, Antoine Vieillard‐Baron",6,"{'FR': 4, 'CA': 2, 'US': 1}",treatment,male,"{'M': 5, 'F': 0}"
Leo Anthony Celi,Senior,Taking Off with AI: Lessons from Aviation for Healthcare,2023,9,12,"Elizabeth Bondi, Thomas Hartvigsen, Lindsay Sanneman, Swami Sankaranarayanan, Zach Harned, Grace Wickerson, Judy Wawira Gichoya, Lauren Oakden‐Rayner, Matthew P. Lungren, Julie Shah, Marzyeh Ghassemi",11,"{'US': 7, 'AU': 1}",treatment,male,"{'M': 3, 'F': 6}"
Leo Anthony Celi,Senior,Comparing Rule-Based and Deep Learning Models for Patient Phenotyping,2017,20,11,"Sebastian Gehrmann, Franck Dernoncourt, Yeran Li, Eric T. Carlson, Joy T. Wu, Jonathan Welt, John Foote, Edward T. Moseley, David W. Grant, Patrick D. Tyler",10,{},treatment,male,"{'M': 8, 'F': 1}"
Leo Anthony Celi,Senior,The Effect of ARDS on Survival: Do Patients Die From ARDS or With ARDS?,2017,20,9,"Lior Fuchs, Mengling Feng, Victor Novack, Joon Lee, Jonathan Taylor, Daniel Scott, Michael D. Howell, Daniel Talmor",8,"{'IL': 2, 'US': 6, 'CA': 1}",treatment,male,"{'M': 6, 'F': 0}"
Leo Anthony Celi,Senior,Impact of Intensive Care Unit Discharge Delays on Patient Outcomes: A Retrospective Cohort Study,2018,20,5,"Somnath Bose, Alistair E. W. Johnson, Ari Moskowitz, Jesse D. Raffa",4,{'US': 5},treatment,male,"{'M': 4, 'F': 0}"
Leo Anthony Celi,Senior,The Impact of Chronic Ozone and Particulate Air Pollution on Mortality in Patients With Sepsis Across the United States,2018,20,5,"Barret Rush, Katie Wiskar, Clark Fruhstorfer, Keith R. Walley",4,"{'CA': 4, 'US': 1}",treatment,male,"{'M': 2, 'F': 1}"
